,Maximum Running Speed,Maximum Gap Distance Crossed,Gap Crossing Speed
1,0.7,0.09,0.47
2,0.5,0.055,0.275
4,0.5,0.0762,0.20335
5,0.574,0.0635,0.356
7,0.68,0.0508,0.49
8,1.2,0.0762,0.15
9,0.82,0.077,0.74
10,1,0.0762,1
11,1.64,0.06,0.086
12,1,0.07,0.2
14,0.519,0.0508,0.433
15,0.6,0.0635,0.6
16,0.710,0.04,0.04
17,0.689,0.06,0.5
18,0.952,0.08,1
19,0.641,0.05,0.12
20,1.205,0.0763,0.732
21,1.355,0.5,0.2857142857
21,,0.5,0.1666666667
24,0.580,0.0686,0.54
25,0.99,0.08,0.16
26,1.13,0.1,1
27,1.79,0.07,0.18
28,1.01,0.07366,0.97
29,0.092,0.04572,0.022
31,1.03,0.066,0.611
33,0.67,0.0762,0.1905
34,1.429,0.08,1.21
35,2.76,0.06,0.7
36,1.429,0.08,1.21
